Rank,Name,Final score,Country,Industry
486,PizzaExpress,72.57,United Kingdom,Restaurants
487,Allgeier,72.54,Germany,"IT, Internet, Software and Services"
488,Amgen,72.53,Switzerland,Drugs and Biotechnology
489,MFE - Mediaforeurope,72.51,Italy,Media and Advertising
490,Georg Fischer,72.38,Switzerland,"Engineering, Manufacturing"
491,Moltiply Group,72.38,Italy,"IT, Internet, Software and Services"
492,Deloitte,72.36,United Kingdom,Consulting and Accounting
493,Technolit,72.33,Germany,Business Services and Supplies
494,Cemex,72.26,United Kingdom,"Manufacture and processing of materials, metals and paper"
495,Wintersteiger,72.25,Austria,"Engineering, Manufacturing"
496,Eni,72.23,Italy,"Oil and Gas Operations, Mining, and Chemicals"
497,STI Group,72.22,Germany,"Manufacture and processing of materials, metals and paper"
498,Reckitt,72.21,United Kingdom,"Food, Soft Beverages, Alcohol and Tobacco"
499,Felbermayr,72.2,Austria,Construction
500,Goldbeck,72.18,Germany,Construction
501,Danske Bank,72.18,Denmark,Banking and Financial Services
502,Groupe Atlantic,72.17,France,"Semiconductors, Electronics, Electrical Engineering, Hardware"
503,General Mills,72.17,Switzerland,"Food, Soft Beverages, Alcohol and Tobacco"
504,Bechtle,72.11,Germany,"IT, Internet, Software and Services"
505,Wetherspoon,72.1,United Kingdom,Restaurants
506,Rockwell Collins,72.09,France,"Aerospace, Defence, Manufacture of Transport Equipment"
507,FedEx,72.06,Netherlands,Transportation and Logistics
508,CGI,72.04,France,"IT, Internet, Software and Services"
509,Piaggio Group,72,Italy,Automotive (Producers and Suppliers)
510,CSL Behring,71.99,Germany,Drugs and Biotechnology
511,Fnac Darty,71.9,France,Retail
512,Norauto,71.88,France,Retail
513,Deutsche Bahn,71.88,Germany,Transportation and Logistics
514,Ansaldo Energia,71.86,Italy,"Engineering, Manufacturing"
515,H&M Hennes & Mauritz,71.86,Sweden,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
516,Gartner,71.72,United Kingdom,Consulting and Accounting
517,European Space Agency,71.72,France,"Aerospace, Defence, Manufacture of Transport Equipment"
518,Signal Iduna,71.72,Germany,Insurance
519,Kaeser Kompressoren,71.7,Germany,"Engineering, Manufacturing"
520,Bauer Gruppe,71.69,Germany,Construction
521,Cr̩dit Agricole,71.65,France,Banking and Financial Services
522,Swiss Life,71.63,Switzerland,Insurance
523,Eurospin,71.63,Italy,Retail
524,Euronics,71.6,Netherlands,Retail
525,Charles River Laboratories,71.59,United Kingdom,Drugs and Biotechnology
526,WPP,71.54,United Kingdom,Media and Advertising
